game_id,blue_kills,blue_deaths,blue_assists,blue_elite_monsters,blue_dragons,blue_heralds,blue_towers_destroyed,blue_total_gold,blue_avg_level,blue_total_experience,blue_total_minions_killed,blue_total_jungle_minions_killed,blue_gold_diff,blue_experience_diff,blue_cs_per_min,blue_gold_per_min,red_kills,red_deaths,red_assists,red_elite_monsters,red_dragons,red_heralds,red_towers_destroyed,red_total_gold,red_avg_level,red_total_experience,red_total_minions_killed,red_total_jungle_minions_killed,red_gold_diff,red_experience_diff,red_cs_per_min,red_gold_per_min,winner,blue_kda,red_kda,blue_vision_score,red_vision_score,first_blood
4473252742,7,9,5,0,0,0,0,16474,6.6,17408,209,50,-1559,-407,20.9,1647.4,9,7,13,1,1,0,0,18033,6.8,17815,206,53,1559,407,20.6,1803.3,red,1.33,3.14,14,26,red
4438138890,6,8,6,0,0,0,0,16590,7,18284,213,49,544,75,21.3,1659,8,6,7,0,0,0,0,16046,7,18209,182,44,-544,-75,18.2,1604.6,blue,1.5,2.5,18,13,red
4467008289,5,2,2,2,1,1,0,15737,7,18634,217,53,1381,1017,21.7,1573.7,2,5,1,0,0,0,0,14356,7,17617,212,60,-1381,-1017,21.2,1435.6,blue,3.5,0.6,26,19,blue
4492625917,5,3,5,0,0,0,0,16990,7.4,19634,248,54,2031,1449,24.8,1699,3,5,5,1,1,0,0,14959,7,18185,210,68,-2031,-1449,21,1495.9,blue,3.33,1.6,39,16,blue
4502901044,3,3,2,1,1,0,0,15297,7,19210,246,56,131,370,24.6,1529.7,3,3,1,0,0,0,0,15166,7.2,18840,227,64,-131,-370,22.7,1516.6,red,1.67,1.33,18,22,red
4467732013,4,10,4,1,0,1,0,15651,7,17696,224,53,-2699,-2749,22.4,1565.1,10,4,11,1,1,0,0,18350,7.4,20445,201,54,2699,2749,20.1,1835,red,0.8,5.25,18,32,red
4514402510,5,7,7,1,1,0,0,15587,6.8,16746,181,63,-1672,-2698,18.1,1558.7,7,5,6,0,0,0,0,17259,7.4,19444,218,76,1672,2698,21.8,1725.9,red,1.71,2.6,17,14,blue
4521277262,10,6,11,1,1,0,0,17777,7.2,18131,213,42,1201,316,21.3,1777.7,6,10,5,0,0,0,0,16576,6.8,17815,234,44,-1201,-316,23.4,1657.6,blue,3.5,1.1,22,22,blue
4521752962,7,5,5,2,1,1,0,16426,7,18407,222,55,-108,59,22.2,1642.6,5,7,4,0,0,0,0,16534,6.8,18348,247,44,108,-59,24.7,1653.4,blue,2.4,1.29,32,18,blue
4514070165,10,7,11,0,0,0,1,20278,7.2,19575,236,58,4633,2269,23.6,2027.8,7,10,6,1,1,0,0,15645,6.6,17306,182,45,-4633,-2269,18.2,1564.5,red,3,1.3,12,21,red
4525056568,2,7,0,0,0,0,0,13791,6.6,16437,191,62,-2262,-1391,19.1,1379.1,7,2,4,1,1,0,0,16053,6.8,17828,218,48,2262,1391,21.8,1605.3,red,0.29,5.5,22,21,red
4521255103,6,7,5,0,0,0,0,16505,7,17667,208,70,-49,500,20.8,1650.5,7,6,10,1,1,0,0,16554,6.8,17167,207,45,49,-500,20.7,1655.4,red,1.57,2.83,27,19,red
4510728488,6,4,4,1,1,0,0,17277,7.2,19610,229,54,1687,1089,22.9,1727.7,4,6,5,1,0,1,0,15590,7.2,18521,232,56,-1687,-1089,23.2,1559,blue,2.5,1.5,20,39,blue
4516919746,9,1,10,2,1,1,0,18269,7.2,19659,229,68,3933,2922,22.9,1826.9,1,9,1,0,0,0,0,14336,6.4,16737,233,40,-3933,-2922,23.3,1433.6,blue,19,0.22,125,17,blue
4499868617,4,10,3,1,1,0,0,14166,6.6,15959,203,41,-4061,-4397,20.3,1416.6,10,4,6,0,0,0,0,18227,7.4,20356,224,72,4061,4397,22.4,1822.7,red,0.7,4,16,18,red
4514234813,6,12,7,0,0,0,0,15456,6.6,16280,188,42,-4920,-3280,18.8,1545.6,12,6,11,1,0,1,1,20376,7.4,19560,240,62,4920,3280,24,2037.6,red,1.08,3.83,54,16,red
4513591449,4,5,2,0,0,0,0,15180,7,17773,210,52,-1705,-1839,21,1518,5,4,1,0,0,0,0,16885,7.2,19612,227,62,1705,1839,22.7,1688.5,red,1.2,1.5,21,15,red
4471416203,7,8,8,1,1,0,0,16179,6.8,16814,212,46,105,-1547,21.2,1617.9,8,7,5,1,0,1,0,16074,7,18361,200,42,-105,1547,20,1607.4,red,1.88,1.86,36,29,blue
4521227315,3,5,3,0,0,0,0,16026,7,18490,233,57,-554,521,23.3,1602.6,5,3,6,1,1,0,0,16580,6.8,17969,234,44,554,-521,23.4,1658,blue,1.2,3.67,14,12,red
4424144387,4,5,4,0,0,0,0,14850,6.8,17145,198,53,-1037,-1577,19.8,1485,5,4,5,1,1,0,0,15887,7,18722,241,44,1037,1577,24.1,1588.7,red,1.6,2.5,24,22,blue
4517806218,9,8,7,1,0,1,0,17347,7,18573,202,62,-1144,480,20.2,1734.7,8,9,11,1,1,0,1,18491,7,18093,199,45,1144,-480,19.9,1849.1,red,2,2.11,18,18,blue
4479974478,5,4,6,0,0,0,0,15887,6.8,17591,200,32,1173,953,20,1588.7,4,5,3,1,1,0,0,14714,6.6,16638,186,63,-1173,-953,18.6,1471.4,blue,2.75,1.4,36,13,blue
4423018162,8,2,11,0,0,0,0,17399,7,19449,232,44,3194,2534,23.2,1739.9,2,8,2,1,1,0,0,14205,6.6,16915,208,51,-3194,-2534,20.8,1420.5,red,9.5,0.5,20,16,blue
4518401885,2,7,1,1,1,0,0,13828,6.6,16629,204,38,-2622,-1136,20.4,1382.8,7,2,7,0,0,0,0,16450,6.8,17765,192,36,2622,1136,19.2,1645,red,0.43,7,16,12,blue
4525208730,6,4,4,1,1,0,0,16645,7.2,19110,242,52,1151,470,24.2,1664.5,4,6,3,1,0,1,0,15494,7,18640,205,50,-1151,-470,20.5,1549.4,blue,2.5,1.17,18,17,blue
4512774492,6,4,8,2,1,1,0,16248,6.8,17200,200,52,1463,1490,20,1624.8,4,6,8,0,0,0,0,14785,6.6,15710,169,52,-1463,-1490,16.9,1478.5,blue,3.5,2,54,50,blue
4522772001,4,6,1,0,0,0,0,15310,7,18337,221,52,-1038,-1307,22.1,1531,6,4,5,2,1,1,0,16348,7.2,19644,226,66,1038,1307,22.6,1634.8,red,0.83,2.75,16,17,red
4464439713,8,4,7,1,0,1,0,16784,6.6,17242,212,40,1424,1060,21.2,1678.4,4,8,5,0,0,0,0,15360,6.4,16182,180,61,-1424,-1060,18,1536,blue,3.75,1.12,19,17,blue
4479823004,13,9,18,1,1,0,0,19032,7.4,18951,232,44,527,721,23.2,1903.2,9,13,5,0,0,0,0,18505,7,18230,216,63,-527,-721,21.6,1850.5,blue,3.44,1.08,19,16,red
4507330276,7,6,12,0,0,0,0,17518,7.2,18342,242,46,1807,932,24.2,1751.8,6,7,9,2,1,1,0,15711,6.8,17410,198,60,-1807,-932,19.8,1571.1,red,3.17,2.14,22,56,red
4447392049,11,4,12,1,0,1,0,18976,7.4,20326,256,43,2856,1262,25.6,1897.6,4,11,6,1,1,0,0,16120,7.2,19064,210,72,-2856,-1262,21,1612,red,5.75,0.91,49,16,blue
4521089901,6,6,10,1,1,0,0,16143,6.6,16617,204,56,-964,-2454,20.4,1614.3,6,6,3,1,0,1,0,17107,7,19071,241,56,964,2454,24.1,1710.7,red,2.67,1.5,13,14,red
4427944005,7,8,6,1,0,1,0,15868,7,17111,199,51,-178,524,19.9,1586.8,8,7,6,1,1,0,0,16046,6.8,16587,178,47,178,-524,17.8,1604.6,red,1.62,2,22,49,red
4509784380,9,8,7,1,1,0,0,17977,7,18162,235,41,705,192,23.5,1797.7,8,9,8,0,0,0,0,17272,7,17970,207,44,-705,-192,20.7,1727.2,blue,2,1.78,21,16,red
4524411421,10,10,14,1,1,0,0,18138,7,18159,208,55,908,306,20.8,1813.8,10,10,16,0,0,0,0,17230,7,17853,210,44,-908,-306,21,1723,blue,2.4,2.6,16,16,red
4519898107,7,2,12,2,1,1,0,18025,7.2,19864,261,68,3558,3243,26.1,1802.5,2,7,3,0,0,0,0,14467,6.8,16621,220,56,-3558,-3243,22,1446.7,blue,9.5,0.71,16,25,red
4517633575,1,6,0,0,0,0,0,14625,6.8,17769,241,56,-1299,-49,24.1,1462.5,6,1,3,1,1,0,0,15924,7,17818,218,47,1299,49,21.8,1592.4,red,0.17,9,18,54,red
4521948875,5,8,7,1,1,0,0,15752,6.6,17113,201,48,-1763,-1864,20.1,1575.2,8,5,6,0,0,0,0,17515,7.2,18977,248,40,1763,1864,24.8,1751.5,blue,1.5,2.8,20,21,red
4509102299,10,4,12,0,0,0,0,18480,7.4,19565,232,64,2547,2189,23.2,1848,4,10,4,0,0,0,0,15933,6.6,17376,247,41,-2547,-2189,24.7,1593.3,blue,5.5,0.8,15,13,red
4525041896,3,10,2,1,1,0,0,14995,6.6,16206,210,53,-3685,-3119,21,1499.5,10,3,13,1,0,1,0,18680,7.4,19325,200,67,3685,3119,20,1868,red,0.5,7.67,16,23,red
4515706467,7,11,3,0,0,0,0,15655,6.4,15827,194,25,-3689,-4682,19.4,1565.5,11,7,7,1,1,0,0,19344,7.2,20509,216,59,3689,4682,21.6,1934.4,red,0.91,2.57,96,37,blue
